#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery
#Serial Number: SN:210244693705
#Date Time: 2018-03-23 11:17:42.330
#Sample rate: 800Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 100 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: -2 V
#Channel 2: Range: 100 mV/div Offset: -200 mV

Time (s),Channel 1 (V),Channel 2 (V)
-5.119204260651629,3.1129410417773462,0.18821798431687234
-5.1179542606516293,3.1129410417773462,0.18821798431687234
-5.1167042606516286,3.1129410417773462,0.18821798431687234
-5.1154542606516289,3.1129410417773462,0.18788487049220695
-5.1142042606516291,3.1129410417773462,0.18755175666754159
-5.1129542606516285,3.1129410417773462,0.18755175666754159
-5.1117042606516288,3.1129410417773462,0.18755175666754159
-5.110454260651629,3.1129410417773462,0.18721864284287623
-5.1092042606516292,3.1094464567819395,0.18721864284287623
-5.1079542606516286,3.1129410417773462,0.18755175666754173
-5.1067042606516289,3.1129410417773462,0.18788487049220695
-5.1054542606516291,3.1129410417773462,0.18755175666754159
-5.1042042606516294,3.1129410417773462,0.18788487049220681
-5.1029542606516287,3.1129410417773462,0.18788487049220695
-5.101704260651629,3.1129410417773462,0.18821798431687234
-5.1004542606516292,3.1129410417773462,0.18821798431687234
-5.0992042606516286,3.1129410417773462,0.18821798431687234
-5.0979542606516288,3.1129410417773462,0.18821798431687234
-5.0967042606516291,3.1129410417773462,0.18821798431687234
-5.0954542606516293,3.1094464567819395,0.18788487049220709
-5.0942042606516287,3.1094464567819378,0.18755175666754159
-5.0929542606516289,3.1094464567819378,0.18721864284287623
-5.0917042606516292,3.1094464567819378,0.18755175666754159
-5.0904542606516285,3.1094464567819378,0.18721864284287623
-5.0892042606516288,3.1094464567819378,0.18721864284287623
-5.087954260651629,3.1094464567819378,0.18755175666754159
-5.0867042606516293,3.1094464567819378,0.18755175666754159
-5.0854542606516286,3.1094464567819378,0.18755175666754159
-5.0842042606516289,3.1094464567819378,0.18788487049220695
-5.0829542606516291,3.1094464567819378,0.18788487049220695
-5.0817042606516285,3.1094464567819378,0.18821798431687234
-5.0804542606516288,3.1094464567819378,0.18821798431687234
-5.079204260651629,3.1094464567819378,0.18821798431687234
-5.0779542606516292,3.1094464567819378,0.18821798431687234
-5.0767042606516286,3.109446456781936,0.18788487049220695
-5.0754542606516289,3.1059518717865293,0.18788487049220695
-5.0742042606516291,3.1059518717865293,0.18755175666754159
-5.0729542606516294,3.1059518717865293,0.18721864284287637
-5.0717042606516287,3.1059518717865293,0.18755175666754159
-5.070454260651629,3.1059518717865293,0.18721864284287623
-5.0692042606516292,3.1059518717865293,0.18721864284287623
-5.0679542606516286,3.1059518717865293,0.18755175666754159
-5.0667042606516288,3.1059518717865293,0.18755175666754159
-5.0654542606516291,3.1059518717865293,0.18788487049220695
-5.0642042606516293,3.1059518717865293,0.18788487049220695
-5.0629542606516287,3.1059518717865293,0.18788487049220695
-5.0617042606516289,3.1059518717865293,0.18821798431687234
-5.0604542606516292,3.1059518717865293,0.18821798431687234
-5.0592042606516285,3.1059518717865293,0.18821798431687234
-5.0579542606516288,3.1059518717865293,0.18821798431687234
-5.056704260651629,3.1024572867911209,0.18821798431687234
-5.0554542606516293,3.1024572867911209,0.18788487049220709
-5.0542042606516286,3.1024572867911209,0.18755175666754159
-5.0529542606516289,3.1024572867911209,0.18721864284287623
-5.0517042606516291,3.1024572867911209,0.18721864284287623
-5.0504542606516285,3.0989627017957124,0.18721864284287623
-5.0492042606516288,3.0989627017957124,0.18721864284287623
-5.047954260651629,3.1024572867911209,0.18755175666754159
-5.0467042606516292,3.1024572867911209,0.18755175666754159
-5.0454542606516286,3.0989627017957124,0.18788487049220695
-5.0442042606516289,3.0989627017957124,0.18788487049220695
-5.0429542606516291,3.0989627017957124,0.18788487049220695
-5.0417042606516294,3.0989627017957124,0.1882179843168722
-5.0404542606516287,3.0989627017957124,0.18821798431687234
-5.039204260651629,3.0989627017957124,0.18821798431687234
-5.0379542606516292,3.0989627017957124,0.1885510981415377
-5.0367042606516286,3.0989627017957124,0.1882179843168722
-5.0354542606516288,3.0989627017957124,0.18788487049220695
-5.0342042606516291,3.095468116800304,0.18755175666754159
-5.0329542606516293,3.095468116800304,0.18721864284287637
-5.0317042606516287,3.095468116800304,0.18721864284287623
-5.0304542606516289,3.095468116800304,0.18721864284287623
-5.0292042606516292,3.095468116800304,0.18721864284287623
-5.0279542606516285,3.0954681168003022,0.18755175666754159
-5.0267042606516288,3.0919735318048955,0.18755175666754159
-5.025454260651629,3.095468116800304,0.18755175666754159
-5.0242042606516293,3.0919735318048973,0.18755175666754159
-5.0229542606516286,3.0919735318048955,0.18788487049220695
-5.0217042606516289,3.0919735318048955,0.18821798431687234
-5.0204542606516291,3.0919735318048955,0.18821798431687234
-5.0192042606516285,3.0919735318048955,0.18821798431687234
-5.0179542606516288,3.0919735318048955,0.18821798431687234
-5.016704260651629,3.0919735318048955,0.18788487049220695
-5.0154542606516292,3.0919735318048955,0.18788487049220695
-5.0142042606516286,3.0919735318048938,0.18755175666754145
-5.0129542606516289,3.0884789468094871,0.18721864284287623
-5.0117042606516291,3.0884789468094871,0.18721864284287623
-5.0104542606516294,3.0884789468094871,0.18721864284287623
-5.0092042606516287,3.0884789468094871,0.18721864284287623
-5.007954260651629,3.0884789468094871,0.18755175666754159
-5.0067042606516292,3.0884789468094871,0.18755175666754159
-5.0054542606516286,3.0884789468094871,0.18788487049220695
